ID,1st Choice,2nd Choice,3rd Choice,4th Choice,5th Choice,6th Choice,7th Choice,8th Choice,9th Choice,10th Choice,11th Choice,12th Choice,13th Choice,14th Choice,15th Choice,16th Choice,17th Choice,18th Choice
000101-00-0200,C09,C15,C01,,,,,,,,,,,,,,,
000101-00-0201,C05,C17,C15,,,,,,,,,,,,,,,
000101-00-0203,C06,,,,,,,,,,,,,,,,,
000101-00-0204,C15,C01,C02,C03,C04,C05,,,,,,,,,,,,
000101-00-0206,C17,,,,,,,,,,,,,,,,,
000101-00-0208,C15,C05,,,,,,,,,,,,,,,,
000101-00-0211,C02,C15,C09,,,,,,,,,,,,,,,
000101-00-0212,C17,C14,C03,C05,,,,,,,,,,,,,,
000101-00-0214,C14,C03,C17,C02,C05,,,,,,,,,,,,,
000101-00-0216,C15,,,,,,,,,,,,,,,,,
000101-00-0218,C13,,,,,,,,,,,,,,,,,
000101-00-0220,C16,C15,C03,C02,,,,,,,,,,,,,,
000101-00-0222,C02,C15,C09,,,,,,,,,,,,,,,
000101-00-0223,C15,C05,C04,,,,,,,,,,,,,,,
000101-00-0225,C15,C05,C04,,,,,,,,,,,,,,,
000101-00-0227,C15,C01,C04,C12,C06,C05,,,,,,,,,,,,
000101-00-0229,C15,C05,C12,C01,C02,C03,C06,C04,C11,C13,C07,,,,,,,
000101-00-0230,C15,C03,,,,,,,,,,,,,,,,
000101-00-0232,C14,C12,C01,C02,C18,C06,C13,,,,,,,,,,,
000101-00-0235,C13,C01,C03,,,,,,,,,,,,,,,
000101-00-0237,C01,C04,C11,C06,C16,C14,C07,C17,C02,,,,,,,,,
000101-00-0238,C15,C05,C12,C03,C16,C01,,,,,,,,,,,,
000101-00-0240,C15,C17,C09,,,,,,,,,,,,,,,
000101-00-0243,C05,C10,C12,,,,,,,,,,,,,,,
000101-00-0244,C15,C05,C01,C06,C13,C09,C11,,,,,,,,,,,
000101-00-0246,C15,C06,C04,C16,C09,,,,,,,,,,,,,
000101-00-0247,C15,,,,,,,,,,,,,,,,,
000101-00-0250,C05,C15,C02,C13,C11,C03,C12,C04,,,,,,,,,,
000101-00-0253,C02,C15,C01,C03,C04,C05,C11,C12,C13,C14,C10,C09,C08,C07,C16,C17,C18,C06
000101-00-0254,C15,C06,C14,,,,,,,,,,,,,,,
000101-00-0258,C15,,,,,,,,,,,,,,,,,
000101-00-0261,C15,C06,C12,C16,C09,C05,,,,,,,,,,,,
000101-00-0263,C15,C04,C12,C05,C11,,,,,,,,,,,,,
000101-00-0265,C01,C11,C15,C05,C06,C07,,,,,,,,,,,,
000101-00-0267,C15,C09,C07,,,,,,,,,,,,,,,
000101-00-0268,C01,C04,C06,C14,C16,C17,C02,C09,C12,C10,,,,,,,,
000101-00-0271,C15,C09,C17,C05,C07,,,,,,,,,,,,,
000101-00-0272,C06,C01,C15,C13,C17,C02,,,,,,,,,,,,
000101-00-0274,C15,,,,,,,,,,,,,,,,,
000101-00-0276,C04,C06,C16,C01,C18,,,,,,,,,,,,,
000101-00-0278,C15,C05,C03,,,,,,,,,,,,,,,
000101-00-0280,C02,C11,C16,,,,,,,,,,,,,,,
000101-00-0282,C04,C06,C13,,,,,,,,,,,,,,,
000101-00-0285,C01,C16,,,,,,,,,,,,,,,,
000101-00-0287,C06,C17,C11,,,,,,,,,,,,,,,
000101-00-0289,C01,C16,C02,,,,,,,,,,,,,,,
000101-00-0290,C12,C11,C15,C01,C02,C16,C17,C09,C05,C13,C14,C06,,,,,,
000101-00-0292,C01,C02,C13,,,,,,,,,,,,,,,
000101-00-0294,C02,C09,C17,C05,C15,,,,,,,,,,,,,
000101-00-0296,C02,C09,C17,C05,,,,,,,,,,,,,,
000101-00-0298,C01,C15,C02,,,,,,,,,,,,,,,
000101-00-0301,C01,C15,C11,C16,C13,C05,,,,,,,,,,,,
000101-00-0303,C01,C16,,,,,,,,,,,,,,,,
000101-00-0305,C15,C05,C13,,,,,,,,,,,,,,,
000101-00-0306,C15,C05,C03,C18,C17,,,,,,,,,,,,,
000101-00-0308,C14,C06,C10,,,,,,,,,,,,,,,
000101-00-0311,C04,C03,C02,,,,,,,,,,,,,,,
000101-00-0312,C15,C06,,,,,,,,,,,,,,,,
000101-00-0315,C15,C07,C05,,,,,,,,,,,,,,,
000101-00-0317,C03,C13,C11,,,,,,,,,,,,,,,
000101-00-0318,C15,C05,C17,C03,,,,,,,,,,,,,,
000101-00-0320,C15,C13,C11,C02,C01,C05,C04,C03,C12,C17,C16,C09,C10,C14,C18,C06,C07,C08
000101-00-0322,C15,C05,,,,,,,,,,,,,,,,
000101-00-0324,C06,C11,C12,C18,C01,,,,,,,,,,,,,
000101-00-0327,C15,,,,,,,,,,,,,,,,,
000101-00-0329,C15,C06,C11,C13,C01,C04,C17,C07,C14,,,,,,,,,
000101-00-0330,C13,C01,C15,C12,C11,C05,C04,C03,,,,,,,,,,
000101-00-0332,C12,,,,,,,,,,,,,,,,,
000101-00-0333,C12,,,,,,,,,,,,,,,,,
000101-00-0335,C15,C05,C04,,,,,,,,,,,,,,,
000101-00-0337,C15,C05,,,,,,,,,,,,,,,,
000101-00-0339,C15,C05,C06,C13,,,,,,,,,,,,,,
000101-00-0341,C15,C05,,,,,,,,,,,,,,,,
000101-00-0342,C15,,,,,,,,,,,,,,,,,
000101-00-0344,C15,C06,C01,,,,,,,,,,,,,,,
000101-00-0347,C11,C13,C03,,,,,,,,,,,,,,,
000101-00-0348,C17,C13,C01,,,,,,,,,,,,,,,
000101-00-0351,C15,C01,C13,,,,,,,,,,,,,,,
000101-00-0352,C15,C01,C02,C03,C04,C05,C13,C12,C11,,,,,,,,,
000101-00-0355,C15,,,,,,,,,,,,,,,,,
000101-00-0357,C15,C01,C06,C04,,,,,,,,,,,,,,
000101-00-0359,C15,C05,,,,,,,,,,,,,,,,
000101-00-0361,C01,C15,C16,C02,,,,,,,,,,,,,,
000101-00-0363,C09,C02,C11,C01,,,,,,,,,,,,,,
000101-00-0365,C04,C06,C16,C14,,,,,,,,,,,,,,
000101-00-0367,C15,C03,C05,,,,,,,,,,,,,,,
000101-00-0369,C15,C05,,,,,,,,,,,,,,,,
000101-00-0370,C15,C05,C03,C01,,,,,,,,,,,,,,
000101-00-0372,C06,C04,C15,C13,C16,C14,C18,C08,C07,C09,C10,,,,,,,
000101-00-0375,C15,C04,C06,C13,,,,,,,,,,,,,,
000101-00-0376,C02,C01,C17,C15,C13,C12,C09,C05,,,,,,,,,,
000101-00-0378,C11,C02,,,,,,,,,,,,,,,,
000101-00-0380,C03,C02,C16,C13,C14,C12,C06,C07,C08,C09,,,,,,,,
000101-00-0381,C03,C02,C17,C16,C09,C14,C06,C12,C07,,,,,,,,,
000101-00-0384,C15,C01,C13,C11,C04,C05,C12,C02,C03,C18,C17,C06,C14,C10,C09,C08,C07,C16
000101-00-0385,C11,C15,C13,C02,C12,C17,,,,,,,,,,,,
000101-00-0387,C15,C01,,,,,,,,,,,,,,,,
000101-00-0389,C11,C17,C09,,,,,,,,,,,,,,,
000101-00-0391,C15,C05,,,,,,,,,,,,,,,,
000101-00-0394,C15,C05,C06,C17,,,,,,,,,,,,,,
000101-00-0396,C15,C05,,,,,,,,,,,,,,,,
000101-00-0397,C14,C02,,,,,,,,,,,,,,,,
000101-00-0400,C13,C11,C17,,,,,,,,,,,,,,,
000101-00-0401,C03,C01,C11,,,,,,,,,,,,,,,
000101-00-0403,C05,,,,,,,,,,,,,,,,,
000101-00-0405,C06,C04,,,,,,,,,,,,,,,,
000101-00-0408,C01,C16,C15,C11,C14,,,,,,,,,,,,,
000101-00-0412,C15,C05,,,,,,,,,,,,,,,,
000101-00-0413,C15,C11,C12,C17,C18,C03,C05,C06,C07,C09,,,,,,,,
000101-00-0414,C15,C11,C01,C03,C04,C05,C06,C12,C14,C18,C07,,,,,,,
000101-00-0417,C11,C13,C15,,,,,,,,,,,,,,,
000101-00-0418,C15,C01,C02,C03,C05,C13,C11,C12,,,,,,,,,,
000101-00-0420,C15,C01,C05,C06,,,,,,,,,,,,,,
000101-00-0422,C15,C01,C02,C03,C05,C04,C13,C12,C11,,,,,,,,,
000101-00-0424,C15,C06,C16,,,,,,,,,,,,,,,
000101-00-0426,C15,C06,C05,,,,,,,,,,,,,,,
000101-00-0428,C06,C04,,,,,,,,,,,,,,,,
000101-00-0431,C06,C04,C16,,,,,,,,,,,,,,,
000101-00-0432,C11,C13,C10,,,,,,,,,,,,,,,
000101-00-0434,C14,C01,C02,C12,C05,C15,C06,C13,C11,,,,,,,,,
000101-00-0436,C15,C06,C01,C05,,,,,,,,,,,,,,
000101-00-0438,C16,C15,C01,C11,C18,,,,,,,,,,,,,
000101-00-0439,C09,C15,C06,C07,C08,C16,C17,C18,C01,C02,C03,C04,C05,C10,C11,C12,C13,C14
000101-00-0442,C14,C05,C02,C18,C15,C01,C12,C11,C04,C03,C17,C16,,,,,,
000101-00-0444,C01,C11,C06,C02,C05,C03,C13,C12,,,,,,,,,,
000101-00-0447,C12,C17,C01,,,,,,,,,,,,,,,
000101-00-0448,C11,C12,C10,C09,C05,C04,C03,C15,C13,,,,,,,,,
000101-00-0450,C15,C06,C11,,,,,,,,,,,,,,,
000101-00-0451,C07,,,,,,,,,,,,,,,,,
000101-00-0453,C04,C17,C05,C15,C01,,,,,,,,,,,,,
000101-00-0455,C01,C14,C16,C12,C06,,,,,,,,,,,,,
000101-00-0458,C16,C15,C14,C01,C06,,,,,,,,,,,,,
000101-00-0459,C15,C05,C13,C11,C02,,,,,,,,,,,,,
000101-00-0461,C05,C04,C03,C02,C01,C15,C13,C12,,,,,,,,,,
000101-00-0464,C16,C01,C11,C14,C15,,,,,,,,,,,,,
000101-00-0467,C16,C01,,,,,,,,,,,,,,,,
000101-00-0468,C16,C01,,,,,,,,,,,,,,,,
000101-00-0469,C13,C01,C02,,,,,,,,,,,,,,,
000101-00-0472,C02,C11,C12,C03,C05,,,,,,,,,,,,,
000101-00-0474,C04,C16,C11,C12,,,,,,,,,,,,,,
000101-00-0475,C04,C17,C01,C18,,,,,,,,,,,,,,
000101-00-0477,C15,C01,C05,C02,C13,,,,,,,,,,,,,
000101-00-0479,C01,C15,C06,,,,,,,,,,,,,,,
000101-00-0482,C13,C15,C05,C02,C03,C04,C11,C12,C01,,,,,,,,,
000101-00-0484,C06,C09,C17,C01,C04,C12,C15,C13,C18,,,,,,,,,
000101-00-0486,C15,C05,,,,,,,,,,,,,,,,
000101-00-0487,C15,C05,,,,,,,,,,,,,,,,
000101-00-0489,C15,C05,C07,C11,C01,,,,,,,,,,,,,
000101-00-0492,C15,C05,C07,C17,C06,,,,,,,,,,,,,
000101-00-0493,C03,C17,C10,,,,,,,,,,,,,,,
000101-00-0496,C05,C15,,,,,,,,,,,,,,,,
000101-00-0497,C15,C05,C01,C03,C07,,,,,,,,,,,,,
000101-00-0500,C15,C05,C11,C16,C01,C02,C12,,,,,,,,,,,
000101-00-0501,C01,C04,C09,C03,C10,,,,,,,,,,,,,
000101-00-0504,C15,C03,C05,,,,,,,,,,,,,,,
000101-00-0505,C15,C05,C13,C17,C02,,,,,,,,,,,,,
000101-00-0507,C15,,,,,,,,,,,,,,,,,
000101-00-0509,C05,C15,C01,,,,,,,,,,,,,,,
000101-00-0511,C14,C01,C07,C13,C12,,,,,,,,,,,,,
000101-00-0513,C15,C05,C03,,,,,,,,,,,,,,,
000101-00-0516,C04,C16,C02,C03,C01,C06,C12,C13,,,,,,,,,,
000101-00-0517,C01,C16,C13,C15,C02,C06,,,,,,,,,,,,
000101-00-0519,C15,C05,C02,C04,C12,C01,C03,C06,C14,C17,C08,C16,C18,C09,C10,C11,C13,
000101-00-0521,C12,,,,,,,,,,,,,,,,,
000101-00-0523,C16,C06,C15,C13,C01,C03,C09,C10,,,,,,,,,,
000101-00-0526,C15,C01,C13,C05,C11,C14,C02,C17,C09,,,,,,,,,
000101-00-0527,C05,C16,C06,C07,C09,C02,C01,C14,C03,,,,,,,,,
000101-00-0529,C01,C15,C13,,,,,,,,,,,,,,,
000101-00-0531,C05,C16,C06,C07,C09,C17,C14,C02,,,,,,,,,,
000101-00-0532,C02,C03,C12,C01,,,,,,,,,,,,,,
000101-00-0534,C09,C15,C14,C13,C12,C11,C10,C08,C17,C18,C07,C06,C04,C03,C02,C01,,
000101-00-0537,C15,C05,,,,,,,,,,,,,,,,
000101-00-0538,C02,C11,C05,C03,C13,C16,,,,,,,,,,,,
000101-00-0541,C06,C04,C14,,,,,,,,,,,,,,,
000101-00-0543,C03,C02,C15,C16,C13,C04,C05,C06,C07,C08,C09,C10,C11,C12,C14,C01,C18,C17
000101-00-0545,C15,C02,C06,C17,C03,C13,C01,C05,C07,C09,C08,C18,C10,C11,C14,C12,C04,C16
000101-00-0547,C06,C04,C01,C09,C07,C15,C05,,,,,,,,,,,
000101-00-0549,C01,C15,C16,C14,C11,,,,,,,,,,,,,
000101-00-0550,C15,C04,C05,C11,C12,C01,C02,C03,,,,,,,,,,
000101-00-0553,C16,C05,,,,,,,,,,,,,,,,
000101-00-0554,C15,C02,C04,C16,,,,,,,,,,,,,,
000101-00-0556,C06,C01,C14,C15,,,,,,,,,,,,,,
000101-00-0558,C15,,,,,,,,,,,,,,,,,
000101-00-0561,C06,C16,C04,,,,,,,,,,,,,,,
000101-00-0563,C15,C05,,,,,,,,,,,,,,,,
000101-00-0566,C15,C11,C13,,,,,,,,,,,,,,,
000101-00-0567,C15,,,,,,,,,,,,,,,,,
000101-00-0569,C04,,,,,,,,,,,,,,,,,
000101-00-0570,C15,C17,C13,C02,C05,,,,,,,,,,,,,
000101-00-0573,C02,C15,C13,,,,,,,,,,,,,,,
000101-00-0574,C02,C16,C13,C03,,,,,,,,,,,,,,
000101-00-0577,C02,C15,,,,,,,,,,,,,,,,
000101-00-0578,C05,C15,C07,C13,,,,,,,,,,,,,,
000101-00-0581,C01,C15,C04,,,,,,,,,,,,,,,
000101-00-0582,C15,C02,C03,C04,C05,C11,C12,C13,,,,,,,,,,
000101-00-0584,C15,,,,,,,,,,,,,,,,,
000101-00-0585,C16,C01,C11,C14,C15,,,,,,,,,,,,,
000101-00-0587,C16,C15,C14,C11,C01,,,,,,,,,,,,,
000101-00-0588,C06,,,,,,,,,,,,,,,,,
000101-00-0590,C09,C15,C12,,,,,,,,,,,,,,,
000101-00-0594,C15,C01,C03,C12,,,,,,,,,,,,,,
000101-00-0595,C06,C07,C18,C08,C15,,,,,,,,,,,,,
000101-00-0597,C15,,,,,,,,,,,,,,,,,
000101-00-0599,C15,C01,C02,C11,C12,C13,C04,C05,,,,,,,,,,
000101-00-0600,C06,C04,,,,,,,,,,,,,,,,
000101-00-0603,C15,C16,C13,,,,,,,,,,,,,,,
000101-00-0606,C15,C07,C17,C09,,,,,,,,,,,,,,
000101-00-0607,C12,C13,C05,,,,,,,,,,,,,,,
000101-00-0610,C04,C17,C05,C10,C13,C15,C01,C12,C11,C08,C09,,,,,,,
000101-00-0612,C06,C01,C14,C12,C04,C02,C05,C07,C15,,,,,,,,,
000101-00-0613,C15,C01,C11,C17,C04,C06,,,,,,,,,,,,
000101-00-0616,C11,C13,C15,C01,C02,C05,,,,,,,,,,,,
000101-00-0617,C15,C06,C13,C02,C03,C16,C01,C10,,,,,,,,,,
000101-00-0620,C01,C06,C04,C13,C14,C02,C12,C15,C05,,,,,,,,,
000101-00-0621,C15,C05,C03,C14,C12,C11,,,,,,,,,,,,
000101-00-0623,C15,C05,C13,,,,,,,,,,,,,,,
000101-00-0625,C15,C01,,,,,,,,,,,,,,,,
000101-00-0627,C03,C11,C13,,,,,,,,,,,,,,,
000101-00-0629,C16,C11,C13,C15,,,,,,,,,,,,,,
000101-00-0631,C15,C01,C16,,,,,,,,,,,,,,,
000101-00-0634,C06,C11,C01,,,,,,,,,,,,,,,
000101-00-0635,C15,,,,,,,,,,,,,,,,,
000101-00-0638,C04,C06,C14,C18,C07,C16,C15,,,,,,,,,,,
000101-00-0639,C17,,,,,,,,,,,,,,,,,
000101-00-0643,C15,C05,,,,,,,,,,,,,,,,
000101-00-0644,C14,C11,C15,C05,C12,C13,C01,C02,C03,C04,,,,,,,,
000101-00-0645,C05,C15,C17,,,,,,,,,,,,,,,
000101-00-0647,C09,C15,,,,,,,,,,,,,,,,
000101-00-0649,C09,C06,C01,C15,C02,,,,,,,,,,,,,
000101-00-0650,C01,,,,,,,,,,,,,,,,,
000101-00-0652,C15,C03,,,,,,,,,,,,,,,,
000101-00-0655,C01,C04,C17,C15,C12,,,,,,,,,,,,,
000101-00-0656,C13,C16,C01,C02,C07,C08,C10,C11,C12,,,,,,,,,
000101-00-0658,C14,C15,C16,C17,C18,C05,C06,C07,C08,C09,C10,,,,,,,
000101-00-0660,C15,C04,,,,,,,,,,,,,,,,
000101-00-0662,C15,C05,C11,C04,C03,C02,C01,,,,,,,,,,,
000101-00-0665,C15,C11,,,,,,,,,,,,,,,,
000101-00-0667,C15,C05,C18,C02,C01,C03,C04,C06,C07,C08,C09,C10,C11,C12,C13,C14,C16,C17
000101-00-0668,C17,C01,C02,C15,C13,C06,C03,C04,C05,,,,,,,,,
000101-00-0671,C17,C13,C01,C18,,,,,,,,,,,,,,
000101-00-0673,C09,C15,C01,,,,,,,,,,,,,,,
000101-00-0675,C05,C14,C03,,,,,,,,,,,,,,,
000101-00-0676,C15,C17,C04,C05,,,,,,,,,,,,,,
000101-00-0679,C11,C03,C01,C08,C09,C10,C14,C15,C16,C17,,,,,,,,
000101-00-0680,C03,C11,C15,C17,C02,C05,C12,C04,C13,,,,,,,,,
000101-00-0683,C15,C13,C11,C01,C02,C03,,,,,,,,,,,,
000101-00-0684,C15,C05,,,,,,,,,,,,,,,,
000101-00-0686,C04,,,,,,,,,,,,,,,,,
000101-00-0687,C09,C01,C02,C16,C15,,,,,,,,,,,,,
000101-00-0690,C01,C02,C16,C15,,,,,,,,,,,,,,
000101-00-0691,C02,C16,C15,C01,C13,C03,C11,,,,,,,,,,,
000101-00-0693,C15,,,,,,,,,,,,,,,,,
000101-00-0695,C15,,,,,,,,,,,,,,,,,
000101-00-0697,C15,,,,,,,,,,,,,,,,,
000101-00-0700,C15,C13,,,,,,,,,,,,,,,,
000101-00-0701,C15,C05,C02,,,,,,,,,,,,,,,
000101-00-0704,C13,,,,,,,,,,,,,,,,,
000101-00-0705,C05,C17,C15,,,,,,,,,,,,,,,
000101-00-0707,C05,C11,C13,C10,C15,C02,C03,C04,C12,,,,,,,,,
000101-00-0710,C08,C11,C03,,,,,,,,,,,,,,,
000101-00-0712,C12,C04,C05,,,,,,,,,,,,,,,
000101-00-0713,C01,C15,C13,,,,,,,,,,,,,,,
000101-00-0716,C12,C11,C15,C07,C05,C17,C13,C01,C04,C03,C02,C08,C09,C10,,,,
000101-00-0718,C13,C15,C17,C02,C11,,,,,,,,,,,,,
000101-00-0720,C18,C10,C14,C07,C06,C04,C16,C17,C09,,,,,,,,,
000101-00-0722,C13,C11,,,,,,,,,,,,,,,,
000101-00-0724,C15,C13,C01,C03,C05,C12,C02,C11,C04,,,,,,,,,
000101-00-0725,C16,C04,,,,,,,,,,,,,,,,
000101-00-0727,C04,C06,C14,C12,C15,C02,C01,C13,,,,,,,,,,
000101-00-0728,C15,C01,C03,C16,C05,C02,C12,C04,C11,,,,,,,,,
000101-00-0730,C15,C01,C03,C16,C05,C02,C12,C04,C11,,,,,,,,,
000101-00-0733,C04,C06,C09,,,,,,,,,,,,,,,
000101-00-0735,C03,C15,C16,,,,,,,,,,,,,,,
000101-00-0736,C06,C09,C07,C10,C14,C16,C18,C17,,,,,,,,,,
000101-00-0738,C18,C06,C07,C08,C09,C10,C14,C16,C17,C01,C02,C03,C04,C05,C11,C12,C13,C15
000101-00-0741,C15,,,,,,,,,,,,,,,,,
000101-00-0743,C15,C05,C01,C18,C02,C03,C04,C11,C12,C13,C17,C16,C14,C10,C09,C08,C07,C06
000101-00-0744,C05,C15,C11,,,,,,,,,,,,,,,
